,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,300.0
Fault-1,1.0,1.0,1.0,300.0
Fault-2,1.0,1.0,1.0,300.0
Fault-3,1.0,1.0,1.0,300.0
Fault-4,0.9933333333333333,0.9933333333333333,0.9933333333333333,300.0
Fault-5,0.9933333333333333,0.9933333333333333,0.9933333333333333,300.0
Fault-6,1.0,1.0,1.0,300.0
accuracy,0.9980952380952381,0.9980952380952381,0.9980952380952381,0.9980952380952381
macro avg,0.998095238095238,0.998095238095238,0.998095238095238,2100.0
weighted avg,0.9980952380952381,0.9980952380952381,0.9980952380952381,2100.0
