,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,300.0
Fault-1,1.0,1.0,1.0,300.0
Fault-2,1.0,1.0,1.0,300.0
Fault-3,1.0,1.0,1.0,300.0
Fault-4,0.9966666666666667,0.9966666666666667,0.9966666666666667,300.0
Fault-5,0.9966666666666667,0.9966666666666667,0.9966666666666667,300.0
Fault-6,1.0,1.0,1.0,300.0
accuracy,0.9990476190476191,0.9990476190476191,0.9990476190476191,0.9990476190476191
macro avg,0.9990476190476192,0.9990476190476192,0.9990476190476192,2100.0
weighted avg,0.9990476190476191,0.9990476190476191,0.9990476190476191,2100.0
