,precision,recall,f1-score,support
Normal,0.9717948717948718,0.9475,0.959493670886076,400.0
Fault-1,0.9715762273901809,0.94,0.9555273189326556,400.0
Fault-2,0.9975,0.9975,0.9975,400.0
Fault-3,0.9302884615384616,0.9675,0.9485294117647058,400.0
Fault-4,0.655328798185941,0.7225,0.6872770511296076,400.0
Fault-5,0.7126436781609196,0.62,0.6631016042780749,400.0
Fault-6,0.9282296650717703,0.97,0.9486552567237164,400.0
accuracy,0.8807142857142857,0.8807142857142857,0.8807142857142857,0.8807142857142857
macro avg,0.8810516717345921,0.8807142857142857,0.8800120448164052,2800.0
weighted avg,0.8810516717345922,0.8807142857142857,0.880012044816405,2800.0
