,precision,recall,f1-score,support
Normal,0.42857142857142855,0.105,0.1686746987951807,400.0
Fault-1,0.5106951871657754,0.955,0.6655052264808362,400.0
Fault-2,0.9294403892944039,0.955,0.9420468557336621,400.0
Fault-3,0.7976539589442815,0.68,0.7341430499325237,400.0
Fault-4,0.5360501567398119,0.4275,0.4756606397774687,400.0
Fault-5,0.5915789473684211,0.7025,0.6422857142857142,400.0
Fault-6,0.8284313725490197,0.845,0.8366336633663366,400.0
accuracy,0.6671428571428571,0.6671428571428571,0.6671428571428571,0.6671428571428571
macro avg,0.6603459200904488,0.6671428571428573,0.6378499783388175,2800.0
weighted avg,0.6603459200904488,0.6671428571428571,0.6378499783388174,2800.0
